1985			35			25			4
1986			1			13			4
1987			1			2			2
1988			3			13			7
1989			4			25			1
1990			4			9			2
1991			6			4			6
1992			12			10			2
1993			7			3			1
1994			6			12			5
1995			4			2			4
1996			39			37			1
1997			17			28			1
1998			6			1			1
1999			3			13			4
2000			6			3			2
2001			1			4			1
2002			1			1			1
2003			2			15			2
2004			4			10			1
2005			8			3			3
2006			7			4			1
2007			4			3			5
2008			17			10			1
2009			17			2			1
2010			2			1			1
2011			3			2			1
2012			1			3			4
2013			35			4			3
2014			30			37			4
